phase,name,x,y,z,vz
1,,-168.3166873,356.5855565,-42.679018250461716,-0.9303328598833174
1,,171.1565481,977.8948905,46.84056655918188,1.4388909762667172
1,,213.6268465,955.9359134,13.33026134942357,4.121371640476276
1,,190.4190208,938.2276365,15.323289213314926,4.242109511665316
1,,-713.4217928,-538.4267074,-188.1881603372174,-10.260437750106838
1,,-341.0625711,-217.1227044,-138.4198849404834,0.5530407503437065
1,,-5.844572178,619.464958,25.227177073003983,-2.1980176529603925
1,,-347.0886314,-136.9046029,-110.775927252975,-0.6234365652757301
1,,-314.0100137,-177.7475019,-128.19797695405725,1.222748450704847
1,,-272.4518432,-137.7822466,-122.24073942919729,0.3944888729370959
1,,-680.6802622,-457.4407711,-173.4378980622622,-10.019253100954993
1,,28.98205544,769.9163107,-22.619323782339784,2.1413450942312657
1,,207.258104,926.7830112,11.615793018673767,4.390016736133256
1,,67.52515652,789.3358617,-17.10162469910614,2.332687856784251
1,,14.51672859,733.6320655,-11.418451942902461,-1.0545998025622596
1,,-128.5845169,328.8605457,126.16717492729157,-2.431507820778067
1,,-372.7273045,-83.49543074,-78.0932467591973,2.3197500209370965
1,,-361.7655412,-98.37500237,-114.88832937893054,3.7088679969165206
1,,-384.4673547,-113.7856676,-77.52231745275186,4.5933830578705015
1,,-375.7436132,-113.993333,-71.55582474726087,4.185335098779282
1,,-321.2455353,-142.2398334,-111.48033821274666,2.8126162441748344
1,,-356.0348869,-162.2213026,-113.96838317482766,-1.0584337570328772
1,,-367.962562,-173.5617825,-103.12740503590598,-0.6501553071080126
1,,-349.2832404,-231.1542935,-150.81903005009246,2.0064784485909133
1,,-690.71429,-469.0304548,-170.9325220615902,-14.495660995411573
1,,-677.0937147,-466.051356,-161.29413192681537,-10.621860285513684
1,,-653.240993,-481.9753016,-218.68139183780343,-6.380947620719792
1,,-510.9257275,-420.202367,-212.58675697869583,-3.6245182024187255
1,,-494.9232674,-412.7791451,-211.85694123832437,-6.331617162784178
1,,-815.7915365,-836.0540433,-33.162722719191734,-7.164748339597836
1,,-818.8830661,-851.1891364,-34.517229401582945,-6.152697187790722
1,,-158.2844217,448.6426938,-5.558506108143916,-0.5617415552181022
1,,-342.9516016,-173.4797544,-118.75115541511512,0.5746791634671409
1,,-126.5096421,308.6096175,82.8489446708676,1.2800686322429073
1,,-56.67914233,443.2883814,-9.862968164500089,0.5549246605447253
1,,-309.4380104,-146.5193572,-108.69119916631442,3.679005042529563
1,,-351.5589383,-165.5309088,-123.46853617482766,-0.04970158203287767
1,,-324.8082591,-174.141936,-125.84941817437532,-0.6627713094054926
1,,207.8292307,1002.605388,50.940761127539204,0.44071656024643024
1,,94.8211975,867.8065947,2.49887430941099,6.4764352147794
1,,74.01333378,812.8096621,-2.3584859196712245,3.457593728619644
1,,-5.856376836,623.3191597,25.401683244749552,-2.1993254279616594
1,,-17.01714632,561.1107391,40.734711047808055,-3.5104142382449615
1,,-81.16039043,741.8350336,64.27656856165787,-6.311265473531007
1,,-71.15535977,442.6680826,112.7274792470945,-4.948625261976128
1,,-124.0839656,435.3073401,69.95791996385609,-2.444601467218103
1,,-141.9596764,363.5614893,65.85363502772353,-2.3924609893696065
1,,-124.8643722,308.694052,82.11241135485716,-0.21678992041201806
1,,-183.2788879,376.5683905,-33.973664011943036,0.004577007340939243
1,,-300.4253749,-42.04616697,-92.26635384205485,3.1935221225480106
1,,-365.5722058,-157.4251513,-86.28392582482766,1.0339904289671225
1,,-329.769277,-166.4195493,-112.80504719312543,3.5844677691753093
1,,-311.0673073,-155.0221414,-120.79109473275186,1.786869847870502
1,,-343.1970352,-218.8206917,-140.6515424310156,0.3681667932388337
1,,-240.6858987,-156.1393998,-85.4202797991973,4.181463614937097
1,,-783.0292632,-616.2696343,-139.95117255750876,-9.616333227987079
1,,-649.8195971,-525.9197759,-90.75980846164062,-7.789977383998385
1,,-492.6716152,-443.3359439,-190.19708739216193,-4.560864124613294
1,,-741.8367498,-605.7672647,-151.48917485805066,-11.007430287854653
1,,-826.0475287,-814.2027067,-51.46203709277898,-10.743595945801385
2,,-804.4156685,-793.67385,-53.518619621881406,-9.53299696145781
2,,-320.8300254,-155.5365347,-108.67717481810365,2.2518778333076046
2,,-326.3172943,-127.7044031,-108.21911917361805,-0.6839788252219057
2,,-306.5825506,-128.3205219,-113.42438763192048,4.87873984179335
2,,-198.2675804,379.1426805,-27.31744827853251,1.0979748249159973
2,,-143.1446646,348.6835879,27.952567470033728,-1.4130310597843743
2,,-308.180874,-119.0880108,-107.54934315070096,3.740595911796558
2,,-304.5600477,-141.4925697,-116.81707371767439,1.1699563282428578
2,,-309.0963874,-112.2958629,-96.40124833642939,3.64277008395477
2,,-694.1325646,-571.5982706,-172.0765880818017,-6.054051206105158
2,,-824.3178326,-837.9519291,-57.975359989237006,-8.68782780159959
2,,-95.01449077,224.8197776,59.5576764036439,1.174793112030546
2,,212.5568399,1009.814014,51.975658867226684,1.2748209833946444
2,,-377.6083681,-102.3607048,-81.33702499666843,2.312039533152233
2,,177.7097336,941.1439204,4.529642469644099,2.961153691903685
2,,-268.7677522,-133.3731256,-143.9195458664294,1.1001630719547695
2,,221.3078406,999.1031604,30.11989320374226,-3.2301457485973524
2,,13.30649014,744.2377412,-11.889941664644084,1.2890103258012067
2,,-123.9375886,434.1636167,69.56530676647527,-2.375802930457238
2,,-392.1767838,-193.4090186,-120.00534159656458,2.569711560536438
2,,-74.55861813,126.360053,46.825927223184934,1.8336629805683566
2,,-790.9714014,-774.3657802,-77.53375090430761,-7.401007843981177
2,,-740.9939726,-605.2938097,-169.65354493508428,-9.751553949998444
2,,223.8236287,969.9037578,9.566598912833914,3.976267137273134
2,,-298.8893243,-137.9604888,-67.49112562927364,10.555852948241292
2,,-103.1962559,440.6959836,20.25451648834393,3.7793785222582725
2,,-210.446812,-117.0455258,-142.82100772392167,5.062705363036364
2,,325.3835475,1008.357246,-45.82721267787765,-0.49183551093345024
2,,-161.5380881,382.7860735,-37.04281021816552,0.6215248355138712
2,,-168.3166873,356.5855565,-42.19725477686314,-1.007990712407907
2,,171.1565481,977.8948905,46.82922566698477,1.397969473068138
2,,213.6268465,955.9359134,13.363874840322257,4.080336501670429
2,,190.4190208,938.2276365,15.57135173355104,4.204442998858978
2,,-713.4217928,-538.4267074,-190.75968566424896,-10.082951913145498
2,,-341.0625711,-217.1227044,-137.45717438067757,0.7146257008182828
2,,-5.844572178,619.464958,24.41200183687183,-2.1953199206585703
2,,-347.0886314,-136.9046029,-109.48019773782941,-0.4891393996420117
2,,-314.0100137,-177.7475019,-126.99012302729398,1.3654343612920208
2,,-272.4518432,-137.7822466,-120.81119955070096,0.5134575017965579
2,,-680.6802622,-457.4407711,-175.4239422121947,-9.819335702608736
2,,28.98205544,769.9163107,-22.70309810289408,2.19271751956929
2,,207.258104,926.7830112,11.902960175698766,4.353737055328976
2,,67.52515652,789.3358617,-16.947039607072774,2.3814349142395526
2,,14.51672859,733.6320655,-11.763494034346248,-1.0074287731321256
2,,-128.5845169,328.8605457,126.70186311031907,-2.508268902918826
2,,-372.7273045,-83.49543074,-76.66370688070097,2.4387186497965585
2,,-361.7655412,-98.37500237,-113.49171155394174,3.831967504575112
2,,-384.4673547,-113.7856676,-76.21896722542395,4.726899229918916
2,,-375.7436132,-113.993333,-70.23742119035059,4.317280365266241
2,,-321.2455353,-142.2398334,-110.15450261874511,2.9437716385819517
2,,-356.0348869,-162.2213026,-112.79427636894515,-0.9127923011074133
2,,-367.962562,-173.5617825,-102.03258288227126,-0.4980573294383426
2,,-349.2832404,-231.1542935,-149.9465413444025,2.1737873951559803
2,,-690.71429,-469.0304548,-173.02852032037384,-14.298923556861952
2,,-677.0937147,-466.051356,-163.3135766317996,-10.422866494454563
2,,-653.240993,-481.9753016,-220.6897417713124,-6.1816430181967315
2,,-510.9257275,-420.202367,-213.5292283087912,-3.4112147974394085
2,,-494.9232674,-412.7791451,-212.67997818149232,-6.118495161816451
2,,-815.7915365,-836.0540433,-36.43783770467715,-7.0989943188392735
