phase,x,y,z,l,b,d
3,-272.5,-137.8,-118.6,206.8,-21.2,327.6
3,-680.7,-457.4,-178.0,213.9,-12.2,839.2
3,29.0,769.9,-23.0,87.8,-1.7,770.8
3,207.3,926.8,13.7,77.4,0.8,949.8
3,67.5,789.3,-16.3,85.1,-1.2,792.3
3,14.5,733.6,-13.1,88.9,-1.0,733.9
3,-128.6,328.9,127.8,111.4,19.9,375.6
3,-372.7,-83.5,-74.5,192.6,-11.0,389.1
3,-361.8,-98.4,-111.4,195.2,-16.5,391.1
3,-384.5,-113.8,-74.3,196.5,-10.5,407.8
3,-375.7,-114.0,-68.3,196.9,-9.9,398.5
3,-321.2,-142.2,-108.2,203.9,-17.1,367.6
3,-356.0,-162.2,-111.1,204.5,-15.9,406.7
3,-368.0,-173.6,-100.4,205.3,-13.9,419.1
3,-349.3,-231.2,-148.7,213.5,-19.5,444.5
3,-690.7,-469.0,-175.7,214.2,-11.9,853.2
3,-677.1,-466.1,-165.9,214.5,-11.4,838.6
3,-653.2,-482.0,-223.3,216.4,-15.4,841.9
3,-510.9,-420.2,-214.8,219.4,-18.0,695.5
3,-494.9,-412.8,-213.8,219.8,-18.4,679.0
3,-815.8,-836.1,-40.6,225.7,-2.0,1168.9
3,-818.9,-851.2,-41.9,226.1,-2.0,1181.9
3,-158.3,448.6,-5.8,109.4,-0.7,475.7
3,-343.0,-173.5,-115.9,206.8,-16.8,401.5
3,-126.5,308.6,84.9,112.3,14.3,344.2
3,-56.7,443.3,-10.9,97.3,-1.4,447.0
3,-309.4,-146.5,-105.4,205.3,-17.1,358.2
3,-351.6,-165.5,-120.6,205.2,-17.2,406.9
3,-324.8,-174.1,-122.9,208.2,-18.4,388.5
3,207.8,1002.6,48.1,78.3,2.7,1025.0
3,94.8,867.8,6.0,83.8,0.4,873.0
3,74.0,812.8,-0.5,84.8,-0.0,816.2
3,-5.9,623.3,22.0,90.5,2.0,623.7
3,-17.0,561.1,37.6,91.7,3.8,562.6
3,-81.2,741.8,61.9,96.2,4.7,748.8
3,-71.2,442.7,111.8,99.1,14.0,462.1
3,-124.1,435.3,69.7,105.9,8.8,458.0
3,-142.0,363.6,67.0,111.3,9.7,396.1
3,-124.9,308.7,84.1,112.0,14.2,343.5
3,-183.3,376.6,-32.7,116.0,-4.5,420.1
3,-300.4,-42.0,-88.1,188.0,-16.2,315.9
3,-365.6,-157.4,-83.4,203.3,-11.8,406.7
3,-329.8,-166.4,-109.8,206.8,-16.6,385.4
3,-311.1,-155.0,-117.5,206.5,-18.7,366.9
3,-343.2,-218.8,-138.3,212.5,-18.8,429.9
3,-240.7,-156.1,-81.8,213.0,-15.9,298.3
3,-783.0,-616.3,-146.9,218.2,-8.4,1007.2
3,-649.8,-525.9,-95.9,219.0,-6.5,841.4
3,-492.7,-443.3,-192.6,222.0,-16.2,690.2
3,-741.8,-605.8,-158.2,219.2,-9.4,970.7
3,-826.0,-814.2,-58.9,224.6,-2.9,1161.3
4,-804.4,-793.7,-60.9,224.6,-3.1,1131.7
4,-320.8,-155.5,-105.4,205.9,-16.5,371.8
4,-326.3,-127.7,-104.7,201.4,-16.6,365.7
4,-306.6,-128.3,-109.8,202.7,-18.3,350.0
4,-198.3,379.1,-26.0,117.6,-3.5,428.6
4,-143.1,348.7,29.4,112.3,4.5,378.1
4,-308.2,-119.1,-103.9,201.1,-17.5,346.4
4,-304.6,-141.5,-113.3,204.9,-18.6,354.5
4,-309.1,-112.3,-92.7,200.0,-15.7,341.7
4,-694.1,-571.6,-178.0,219.5,-11.2,916.6
4,-824.3,-838.0,-65.3,225.5,-3.2,1177.3
4,-95.0,224.8,62.5,112.9,14.4,251.9
4,212.6,1009.8,48.6,78.1,2.7,1033.1
4,-377.6,-102.4,-77.9,195.2,-11.3,398.9
4,177.7,941.1,6.4,79.3,0.4,957.8
4,-268.8,-133.4,-140.2,206.4,-25.0,331.2
4,221.3,999.1,27.2,77.5,1.5,1023.7
4,13.3,744.2,-13.2,89.0,-1.0,744.4
4,-123.9,434.2,69.2,105.9,8.7,456.8
4,-392.2,-193.4,-117.6,206.2,-15.1,452.8
4,-74.6,126.4,50.7,120.5,19.1,155.3
4,-791.0,-774.4,-84.9,224.4,-4.4,1110.2
4,-741.0,-605.3,-176.3,219.2,-10.4,972.9
4,223.8,969.9,8.5,77.0,0.5,995.4
4,-298.9,-138.0,-64.0,204.8,-11.0,335.4
4,-103.2,440.7,19.6,103.2,2.5,453.0
4,-210.4,-117.0,-138.8,209.1,-30.0,277.9
4,325.4,1008.4,-50.6,72.1,-2.7,1060.8
4,-161.5,382.8,-36.1,112.9,-5.0,417.0
4,-168.3,356.6,-40.7,115.3,-5.9,396.4
4,171.2,977.9,46.6,80.1,2.7,993.9
4,213.6,955.9,13.5,77.4,0.8,979.6
4,190.4,938.2,17.3,78.5,1.0,957.5
4,-713.4,-538.4,-196.5,217.0,-12.4,915.1
4,-341.1,-217.1,-135.0,212.5,-18.5,426.3
4,-5.8,619.5,21.0,90.5,1.9,619.9
4,-347.1,-136.9,-106.2,201.5,-15.9,387.9
4,-314.0,-177.7,-123.9,209.5,-19.0,381.5
4,-272.5,-137.8,-117.2,206.8,-21.0,327.1
4,-680.7,-457.4,-179.9,213.9,-12.4,839.6
4,29.0,769.9,-23.1,87.8,-1.7,770.8
4,207.3,926.8,13.9,77.4,0.8,949.8
4,67.5,789.3,-16.1,85.1,-1.2,792.3
4,14.5,733.6,-13.4,88.9,-1.0,733.9
4,-128.6,328.9,128.3,111.4,20.0,375.7
4,-372.7,-83.5,-73.0,192.6,-10.8,388.9
4,-361.8,-98.4,-109.9,195.2,-16.3,390.7
4,-384.5,-113.8,-72.9,196.5,-10.3,407.6
4,-375.7,-114.0,-66.9,196.9,-9.7,398.3
4,-321.2,-142.2,-106.8,203.9,-16.9,367.1
4,-356.0,-162.2,-109.8,204.5,-15.7,406.3
4,-368.0,-173.6,-99.2,205.3,-13.7,418.8
4,-349.3,-231.2,-147.7,213.5,-19.4,444.2
4,-690.7,-469.0,-177.7,214.2,-12.0,853.6
4,-677.1,-466.1,-167.8,214.5,-11.5,839.0
4,-653.2,-482.0,-225.2,216.4,-15.5,842.4
4,-510.9,-420.2,-215.6,219.4,-18.1,695.8
4,-494.9,-412.8,-214.5,219.8,-18.4,679.2
4,-815.8,-836.1,-43.8,225.7,-2.1,1169.0
4,-818.9,-851.2,-45.1,226.1,-2.2,1182.0
4,-158.3,448.6,-6.0,109.4,-0.7,475.7
4,-343.0,-173.5,-114.6,206.8,-16.6,401.1
4,-126.5,308.6,85.5,112.3,14.4,344.3
4,-56.7,443.3,-11.3,97.3,-1.4,447.1
4,-309.4,-146.5,-104.0,205.3,-16.9,357.8
4,-351.6,-165.5,-119.3,205.2,-17.1,406.5
4,-324.8,-174.1,-121.6,208.2,-18.3,388.1
4,207.8,1002.6,47.7,78.3,2.7,1025.0
4,94.8,867.8,6.6,83.8,0.4,873.0
4,74.0,812.8,-0.2,84.8,-0.0,816.2
4,-5.9,623.3,21.2,90.5,1.9,623.7
4,-17.0,561.1,36.8,91.7,3.8,562.6
4,-81.2,741.8,61.4,96.2,4.7,748.8
4,-71.2,442.7,111.5,99.1,14.0,462.0
4,-124.1,435.3,69.5,105.9,8.7,457.9
4,-142.0,363.6,67.4,111.3,9.8,396.1
4,-124.9,308.7,84.7,112.0,14.3,343.6
4,-183.3,376.6,-32.3,116.0,-4.4,420.1
4,-300.4,-42.0,-86.4,188.0,-15.9,315.4
4,-365.6,-157.4,-82.1,203.3,-11.7,406.4
4,-329.8,-166.4,-108.5,206.8,-16.4,385.0
4,-311.1,-155.0,-116.2,206.5,-18.5,366.5
4,-343.2,-218.8,-137.3,212.5,-18.6,429.5
4,-240.7,-156.1,-80.3,213.0,-15.6,297.9
4,-783.0,-616.3,-149.9,218.2,-8.6,1007.7
4,-649.8,-525.9,-98.1,219.0,-6.7,841.7
4,-492.7,-443.3,-193.5,222.0,-16.3,690.4
4,-741.8,-605.8,-161.0,219.2,-9.5,971.2
4,-826.0,-814.2,-62.1,224.6,-3.1,1161.5
5,-804.4,-793.7,-64.2,224.6,-3.3,1131.9
5,-320.8,-155.5,-104.0,205.9,-16.3,371.4
5,-326.3,-127.7,-103.3,201.4,-16.4,365.3
5,-306.6,-128.3,-108.3,202.7,-18.0,349.6
5,-198.3,379.1,-25.6,117.6,-3.4,428.6
5,-143.1,348.7,29.8,112.3,4.5,378.1
5,-308.2,-119.1,-102.4,201.1,-17.2,345.9
5,-304.6,-141.5,-111.9,204.9,-18.4,354.0
